1500s 0 2 4 6 8
1960s 0 2 4 6 8
200 1 3 5 7 9
Aldus 0 2 4 6 8
All 1 3 5 7 9
If 1 3 5 7 9
Internet 1 3 5 7 9
Ipsum 0 1 2 3 4 5 6 7 8 9
It 0 1 2 3 4 5 6 7 8 9
Latin 1 3 5 7 9
Letraset 0 2 4 6 8
Lorem 0 1 2 3 4 5 6 7 8 9
PageMaker 0 2 4 6 8
The 1 3 5 7 9
There 1 3 5 7 9
a 0 1 2 3 4 5 6 7 8 9
also 0 2 4 6 8
alteration 1 3 5 7 9
always 1 3 5 7 9
an 0 2 4 6 8
and 0 2 4 6 8
anything 1 3 5 7 9
are 1 3 5 7 9
as 1 3 5 7 9
available 1 3 5 7 9
be 1 3 5 7 9
been 0 2 4 6 8
believable 1 3 5 7 9
book 0 2 4 6 8
but 0 1 2 3 4 5 6 7 8 9
by 1 3 5 7 9
c 1 3 5 7 9
centuries 0 2 4 6 8
ch 1 3 5 7 9
chunks 1 3 5 7 9
containing 0 2 4 6 8
desktop 0 2 4 6 8
dictionary 1 3 5 7 9
don't 1 3 5 7 9
dummy 0 2 4 6 8
e 1 3 5 7 9
electronic 0 2 4 6 8
embarrassing 1 3 5 7 9
essentially 0 2 4 6 8
etc 1 3 5 7 9
ever 0 2 4 6 8
first 1 3 5 7 9
five 0 2 4 6 8
fore 1 3 5 7 9
form 1 3 5 7 9
free 1 3 5 7 9
from 1 3 5 7 9
galley 0 2 4 6 8
generate 1 3 5 7 9
generated 1 3 5 7 9
generator 1 3 5 7 9
generators 1 3 5 7 9
going 1 3 5 7 9
handful 1 3 5 7 9
has 0 2 4 6 8
have 1 3 5 7 9
hidden 1 3 5 7 9
humour 1 3 5 7 9
in 0 1 2 3 4 5 6 7 8 9
including 0 2 4 6 8
industry's 0 2 4 6 8
industry. 0 2 4 6 8
injected 1 3 5 7 9
into 0 2 4 6 8
is 0 1 2 3 4 5 6 7 8 9
isn't 1 3 5 7 9
it 0 2 4 6 8
leap 0 2 4 6 8
like 0 2 4 6 8
look 1 3 5 7 9
looks 1 3 5 7 9
majority 1 3 5 7 9
make 0 2 4 6 8
making 1 3 5 7 9
many 1 3 5 7 9
me 1 3 5 7 9
middle 1 3 5 7 9
model 1 3 5 7 9
more 0 2 4 6 8
necessary 1 3 5 7 9
need 1 3 5 7 9
non-characteristic 1 3 5 7 9
not 0 2 4 6 8
of 0 1 2 3 4 5 6 7 8 9
ombined 1 3 5 7 9
on 1 3 5 7 9
only 0 2 4 6 8
or 1 3 5 7 9
over 1 3 5 7 9
passage 1 3 5 7 9
passages 0 1 2 3 4 5 6 7 8 9
popularised 0 2 4 6 8
predefined 1 3 5 7 9
printer 0 2 4 6 8
printing 0 2 4 6 8
publishing 0 2 4 6 8
randomised 1 3 5 7 9
reasonable 1 3 5 7 9
recently 0 2 4 6 8
release 0 2 4 6 8
remaining 0 2 4 6 8
repeat 1 3 5 7 9
repetition 1 3 5 7 9
scrambled 0 2 4 6 8
sentence 1 3 5 7 9
sheets 0 2 4 6 8
simply 0 2 4 6 8
since 0 2 4 6 8
slightly 1 3 5 7 9
so 1 3 5 7 9
software 0 2 4 6 8
specimen 0 2 4 6 8
standard 0 2 4 6 8
structures 1 3 5 7 9
suffered 1 3 5 7 9
sure 1 3 5 7 9
survived 0 2 4 6 8
tend 1 3 5 7 9
text 0 1 2 3 4 5 6 7 8 9
the 0 1 2 3 4 5 6 7 8 9
there 1 3 5 7 9
this 1 3 5 7 9
to 0 1 2 3 4 5 6 7 8 9
took 0 2 4 6 8
true 1 3 5 7 9
type 0 2 4 6 8
typesetting 0 2 4 6 8
unchanged 0 2 4 6 8
unknown 0 2 4 6 8
use 1 3 5 7 9
uses 1 3 5 7 9
variations 1 3 5 7 9
ven 1 3 5 7 9
versions 0 2 4 6 8
was 0 2 4 6 8
when 0 2 4 6 8
whi 1 3 5 7 9
which 1 3 5 7 9
with 0 1 2 3 4 5 6 7 8 9
words 1 3 5 7 9
you 1 3 5 7 9
